                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     23,                 1.4385,                  4.991,                 0.5557,                0.90602,                 1.6169,                0.41095,                  0.549,                0.41025,                0.19142,                      0,                      0,                      0,                      0,                 2.2552,                 9.4905,                0.74391,                 2.2529,                 2.1827,             0.00034417,             0.00034417,             0.00034417
                     24,                0.97706,                 3.9351,                 0.4979,                 1.1411,                 1.4753,                0.41095,                  0.549,                0.41025,                0.19142,                      0,                      0,                      0,                      0,                 2.2552,                 9.4905,                0.74391,                 2.2529,                 2.1827,             0.00035526,             0.00035526,             0.00035526
                     25,                 1.5578,                 6.1292,                0.49504,                 1.0938,                 1.5071,                0.79724,                0.42857,                0.48733,                0.21026,                0.87332,                0.07143,                 0.0764,                0.00764,                  2.178,                  9.214,                0.75258,                 2.3411,                 2.1691,             0.00036595,             0.00036595,             0.00036595
                     26,                 1.1612,                 4.2935,                0.55447,                0.77849,                  1.422,                0.79724,                0.42857,                0.48733,                0.21026,                0.87332,                0.07143,                 0.0764,                0.00764,                  2.178,                  9.214,                0.75258,                 2.3411,                 2.1691,             0.00037625,             0.00037625,             0.00037625
                     27,                 1.0796,                  4.311,                0.41405,                0.70424,                 1.3887,                0.59207,                0.35714,                0.33405,                0.17109,                0.48989,                0.07143,                0.07659,                0.03792,                 2.2618,                 9.0239,                0.72466,                 2.3929,                 2.2153,             0.00038615,             0.00038615,             0.00038615
                     28,                0.87359,                 4.1075,                0.41492,                0.63674,                 1.2544,                0.59207,                0.35714,                0.33405,                0.17109,                0.48989,                0.07143,                0.07659,                0.03792,                 2.2618,                 9.0239,                0.72466,                 2.3929,                 2.2153,             0.00039566,             0.00039566,             0.00039566
                     29,                 1.2031,                  5.058,                0.50029,                0.83423,                 1.3154,                 0.5443,                0.35714,                0.37964,                0.21464,                0.46394,                0.07143,                0.07679,                0.03795,                  2.363,                 9.0019,                 0.7099,                 2.4756,                 2.3131,             0.00040477,             0.00040477,             0.00040477
                     30,                 1.6621,                 3.7943,                 0.6197,                 1.0977,                 1.7883,                 0.5443,                0.35714,                0.37964,                0.21464,                0.46394,                0.07143,                0.07679,                0.03795,                  2.363,                 9.0019,                 0.7099,                 2.4756,                 2.3131,             0.00041348,             0.00041348,             0.00041348
                     31,                 1.3349,                 4.6131,                 0.4221,                0.97923,                 1.4246,                0.55129,                0.35714,                0.33439,                0.18421,                0.42971,                0.07143,                0.03968,                0.00397,                  2.434,                 8.9789,                0.69793,                 2.4446,                 2.3559,              0.0004218,              0.0004218,              0.0004218
                     32,                  1.093,                 3.7299,                0.49387,                0.98204,                 1.3376,                0.55129,                0.35714,                0.33439,                0.18421,                0.42971,                0.07143,                0.03968,                0.00397,                  2.434,                 8.9789,                0.69793,                 2.4446,                 2.3559,             0.00042972,             0.00042972,             0.00042972
                     33,                0.97732,                 4.3323,                0.43561,                0.81712,                 1.2847,                0.79409,                0.27727,                0.30317,                 0.1516,                      0,                      0,                      0,                      0,                 2.5501,                 9.0797,                0.67237,                 2.5546,                 2.4371,             0.00043725,             0.00043725,             0.00043725
                     34,                 1.2948,                 4.5692,                0.42957,                0.85618,                 1.2945,                0.79409,                0.27727,                0.30317,                 0.1516,                      0,                      0,                      0,                      0,                 2.5501,                 9.0797,                0.67237,                 2.5546,                 2.4371,             0.00044438,             0.00044438,             0.00044438
